batch	param	setting	dataset	ESS	hr	partition	Leff	L	N	mean.speed	CD_weight	RW_weight	SPP_weight	NER_weight	NER_acc	NE_acc	correctBactrian	ESS.hr
1	kappa	real_adaptive	Dornburg_2012	12122.1381092113	2.59694444444444	7	1.8	5.9	44	1	0.519944359621966	0.133247130168699	0.121502415245074	-1	-1	-1	TRUE	4667.84652830897
1	prior	quant_06_cached	Dornburg_2012	632.423417997717	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	133.980127393149
1	likelihood	quant_06_cached	Dornburg_2012	2936.81675351756	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	622.17032381941
1	TipRates	quant_06_cached	Dornburg_2012	9321.08424125695	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	1974.68977040693
1	height	quant_06_cached	Dornburg_2012	412.482592112645	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	87.3852369567187
1	ucldStdev	quant_06_cached	Dornburg_2012	1374.65375615429	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	291.223063741272
1	kappa	quant_06_cached	Dornburg_2012	11091.5391980949	4.72027777777778	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2349.7640859849
1	prior	quant_cached_adaptive	Dornburg_2012	1334.55953600704	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	256.317452498151
1	likelihood	quant_cached_adaptive	Dornburg_2012	3965.79567091163	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	761.676505296729
1	TipRates	quant_cached_adaptive	Dornburg_2012	12140.3623707548	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2331.69571781463
1	height	quant_cached_adaptive	Dornburg_2012	574.718152316793	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	110.381207231138
1	ucldStdev	quant_cached_adaptive	Dornburg_2012	2014.61010859503	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	386.928958116843
1	kappa	quant_cached_adaptive	Dornburg_2012	10681.6264952931	5.20666666666667	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2051.52877630468
1	prior	quant_cached	Dornburg_2012	926.058608441888	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	188.820287176642
1	likelihood	quant_cached	Dornburg_2012	3735.31319460259	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	761.618005242939
1	TipRates	quant_cached	Dornburg_2012	10513.2369491142	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2143.61423973784
1	height	quant_cached	Dornburg_2012	469.899517309161	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	95.8109573126971
1	ucldStdev	quant_cached	Dornburg_2012	1015.2130725468	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	206.998587515206
1	kappa	quant_cached	Dornburg_2012	10278.1435267826	4.90444444444444	7	1.8	5.9	44	1	-1	-1	-1	-1	-1	-1	TRUE	2095.67946853292
1	prior	cat	Kawahara_2013	8270.79749650091	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	3652.46209364613
1	likelihood	cat	Kawahara_2013	3387.31245714604	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1495.86909294967
1	TipRates	cat	Kawahara_2013	15496.9793930367	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	6843.61209702308
1	height	cat	Kawahara_2013	1777.35166734689	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	784.89524073219
1	ucldStdev	cat	Kawahara_2013	3850.97443332792	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1700.62658979152
1	kappa	cat	Kawahara_2013	11907.1044405118	2.26444444444444	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	5258.28949777262
1	prior	cat_adaptive	Kawahara_2013	9991.98110398303	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	3025.83546217521
